id,event_id,start_time,end_time,title,subtitle,content,act,genres,area.id,area.name,service.id,service.name,service.logo_s.url,service.logo_s.width,service.logo_s.height,service.logo_m.url,service.logo_m.width,service.logo_m.height,service.logo_l.url,service.logo_l.width,service.logo_l.height
2022063000885,00885,2022-06-30T11:55:00+09:00,2022-06-30T12:00:00+09:00,まる得マガジン　巨匠直伝！缶詰イタリアン（４）「帆立て缶＆あさり缶」,缶詰を使って簡単料理。今回はイタリアンの数々に挑戦。パスタやリゾットなど、缶詰ならお手軽で本格的な味わいに。,缶詰を使って簡単料理。今回はイタリアンの巨匠が教えてくれる数々の缶詰料理に挑戦。パスタやリゾットなど、缶詰ならお手軽で本格的な味わいに。面倒なことが嫌いな方におすすめ。逆に本格的なイタリアンが好きな方もこんな味やつくり方があったのか、と目からウロコですよ。,【講師】イタリア料理店オーナーシェフ…日高良実，【出演】青木源太,"['0205', '1015']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000886,00886,2022-06-30T12:00:00+09:00,2022-06-30T12:15:00+09:00,きょうの健康　ニュース「おうちごはん　食中毒に気をつけて！」,コロナ以降、おうち時間が長くなったことで家庭での食中毒が増えている。特に梅雨時は注意が必要な季節。低温調理やキャラ弁など流行りの料理に潜む落とし穴を紹介する,コロナ以降、おうち時間が長くなったことで家庭での食中毒が増えている。特に梅雨時は注意が必要な季節。そこで低温調理で作るローストビーフやサラダチキンやキャラ弁など流行りの料理に潜む落とし穴を特集。今、インターネットのＳＮＳやレシピサイトにはさまざまなレシピが掲載されているが食中毒の専門家から見ると注意が必要なものもあるという。安全な調理法やレシピを見分けるポイントなどを紹介する。,【講師】東京農業大学　教授…五十君靜信，【キャスター】岩田まこ都，小山径,"['0203', '0803', '1011']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000887,00887,2022-06-30T12:15:00+09:00,2022-06-30T12:45:00+09:00,ＮＥＸＴ　ＤＯＯＲ「スープ作家・有賀薫」,これから、どう生きよう？人生の半ば、ふと思いませんか？新たな“ネクスト・ドア”に出会い、５２歳で突如スープ作家としてデビューした有賀薫さんの元気が出る物語です。,シンプルなレシピが大人気のスープ作家・有賀薫さん。５２歳でレシピ本を出版。これまでに考えたレシピは３５００超！そんな有賀さん、かつては家事・育児に追われ、「このままでいいのかな」とモヤモヤした日々を過ごしてきました。スープ作家としてネクスト・ドアを開いたストーリーにＹＯＵさんと板谷由夏さんも大共感！有賀流スープの方程式で２人が一緒にスープ作りも。あなたのネクスト・ドア、探してみませんか？,【司会】ＹＯＵ，板谷由夏，【ゲスト】スープ作家…有賀薫，【語り】鈴木仁,"['0202', '0203', '0205']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000888,00888,2022-06-30T12:45:00+09:00,2022-06-30T12:55:00+09:00,にっぽん巨樹の旅ミニ（２）神様の木に会う　北金ヶ沢のイチョウ（青森・深浦町）,日本には、かけがえのない巨樹がある。全国各地に立つ“神様の木”に会いに行くシリーズ。今回は、青森北金ヶ沢のイチョウ。日本一のイチョウの巨樹と守り人の感動の物語。,悠久を生きる「巨樹」を毎回紹介する。青森にあるイチョウの巨樹。日本一のイチョウだ。全身が紅葉に包まれる美しさは、他のどこでも見られない圧巻の姿だ。垂乳根のイチョウとも呼ばれ、授乳信仰の巨樹としても親しまれてきた。近年、ライトアップもされ、大人気になっている。この日本一のイチョウのすぐそばで７０年以上暮らしてきた守り人がいる。一人の老人とイチョウの巨樹のかけがえのない絆を描く。“神様の木”。,【語り】シシド・カフカ,['0802'],130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000889,00889,2022-06-30T12:55:00+09:00,2022-06-30T13:00:00+09:00,ブレッド図書館（ライブラリー）（５）「フランスパン」,これを見れば、あなたもパン好きに！パンの魅力を５分にギュッと詰めてお届けする「ブレッド図書館（ライブラリー）」。今回は「フランスパン」。おいしさの秘密に迫る！,表面はパリッ、中はふわっとした「フランスパン」。シンプルなのに奥深いそのおいしさの秘密を、名店の技から探る。パンのうんちく「パンちく」のコーナーでは、フランスパンの名前の由来を紹介。実はフランスパンにはさまざまな種類が…。さらに、パン職人おすすめのフランスパンをおいしくいただくコツも伝授。実は「冷めたて」が一番おいしいという。食べきれなかった時の保存法もあわせて紹介。これを見てぜひお試しを！,【語り】安井絵里,"['0205', '0506']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000890,00890,2022-06-30T13:00:00+09:00,2022-06-30T13:05:00+09:00,ＮＨＫ手話ニュース,【キャスター】小野寺善子,,【キャスター】小野寺善子,"['0000', '1104']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000891,00891,2022-06-30T13:05:00+09:00,2022-06-30T13:30:00+09:00,すてきにハンドメイド「かぎ針でザクザク編む　スタイリッシュな夏バッグ」,かぎ針で編んだ花束模様がすてきな大人テイストの夏バッグ。紙製の糸のサラリとした感触が夏に持つのにピッタリ！講師はニット作家の東海えりかさん。,紙製の糸のサラリとした感触が、夏にピッタリなかぎ針編みのバッグを紹介する。ジャンボサイズの太い針でザクザク編んでいくので、短時間で編めてしまうのがうれしい。「玉編み」でぷっくりと浮き出る花束のような模様も、黒で編むと甘くなりすぎずにスタイリッシュな印象に。二重仕立ての内袋は、外側には編地が映える無地の生地を、内側には明るい色柄の生地を使用。講師はニット作家の東海えりかさん。,【講師】ニット作家…東海えりか，【司会】洋輔，佐々木希,"['1001', '0201', '0202']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000894,00894,2022-06-30T13:30:00+09:00,2022-06-30T14:15:00+09:00,先人たちの底力　知恵泉「遣隋使　格上相手どうつきあう？」,約１４００年前、倭国は大陸に誕生した大国・隋に「遣隋使」を派遣。しかし、皇帝をあきれさせたり、怒らせたりと失敗続き。そこから学んだ、格上相手とのつきあい方とは？,小野妹子で有名な「遣隋使」。約１４００年前、国としての歩みを始めたばかりの倭国は、海の向こうに誕生した大国・隋に、遣隋使を派遣する。しかし、最初の遣隋使は、皇帝の機嫌を損ね、大恥をかいて帰国することに…。ただ、格上相手の懐に飛び込んだことにより、聖徳太子らは、隋にならい改革を進めていき、国づくりを急速に進めていく。自分より実力が上の、いわゆる「格上相手」とのつきあい方の知恵を、遣隋使から学ぶ。,【出演】田崎真也，今田耕司，大阪大学准教授…河上麻由子，【司会】高井正智,"['0801', '0800', '1002']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000897,00897,2022-06-30T14:15:00+09:00,2022-06-30T14:50:00+09:00,新・にっぽんの芸能「蔵出し！名舞台　高橋英樹が語る二世尾上松緑」,蔵出し！名舞台・二世尾上松緑。師弟関係にあった高橋英樹が、二世松緑について“語りつくす”。「土蜘」、「髪結新三」、「義経千本桜」知盛・権太・忠信などの至芸を。,戦後歌舞伎の名優・二世尾上松緑（１９１３－１９８９）。没後３３年にあたる今年、師弟関係にあった司会の高橋英樹が“語りつくす”。高橋所蔵の二世松緑ゆかりのお宝も拝見！現代歌舞伎の最高峰・七代目尾上菊五郎が語る二世松緑の思い出。渡辺保に訊く、近代の名優・六代目尾上菊五郎に師事し磨き上げた二世松緑の芸の極みとは？二世松緑自身の貴重な芸談も織り交ぜ、当たり役を一挙ご紹介、歌舞伎の魅力を存分にご覧頂く！,【司会】高橋英樹，庭木櫻子，【出演】尾上菊五郎，渡辺保,"['0904', '0408', '0804']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000898,00898,2022-06-30T14:50:00+09:00,2022-06-30T15:00:00+09:00,おむすびニッポン「愛媛　削りかまぼこおむすび」,全国には私たちの知らない「ご当地おにぎり」がたくさんあります！その一つ一つに知恵や工夫がいっぱい詰め込まれています。今回は愛媛県の「削りかまぼこおむすび」！,今回は愛媛県の「削りかまぼこおむすび」。削りかまぼことは、かまぼこを乾燥させて薄く削ったもの。愛媛では、パーティーやお祝いの席など、特別なときに食べられるといいます。削りかまぼこおむすびは、フワフワの食感で、かめばかむほど甘みが感じられるのが魅力。独特の食感と甘みのヒミツを紹介します。『ほっこりエピソード』は、小学生時代、運動会の日にだけ、家族みんなで毎年食べたという削りかまぼこの思い出。,【出演】飯尾和樹，王林,['1015'],130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
2022063000899,00899,2022-06-30T15:00:00+09:00,2022-06-30T15:25:00+09:00,旅するためのドイツ語（１２）「復習しよう！」,▽現地映像をたっぷり味わいながら旅先で役立つドイツ語フレーズを学びます！▽ベルリン、ハンブルク、ミュンヘンをめぐるドイツ三都周遊記！,▽月末の復習回！モーリーと旅したハンブルクの街を振り返りながら、キーフレーズをおさらい！▽月末コーナー：モーリーの一番弟子が登場！お題は○○！▽チャレンジ・コーナー：スタジオを飛び出し生のドイツ語での会話に挑戦！出会ったのは○○マイスター！鎮西さんの長年のお悩みを解決！,【出演】鎮西寿々歌，ステファン・ブリュックナー，【講師】麗澤大学　准教授…草本晶，【声】綿谷エリナ，ラプシュ麻衣，ラルフ・デーゲン，エルヴィラ・バッハマイヤー,"['1007', '1000', '1002']",130,東京,e1,ＮＨＫＥテレ１,//www.nhk.or.jp/common/img/media/etv-100x50.png,100,50,//www.nhk.or.jp/common/img/media/etv-200x100.png,200,100,//www.nhk.or.jp/common/img/media/etv-200x200.png,200,200
